"fold_id","district","district_old","pca","orig_area","district_perim","parts","circle_perim","circle_area","hull_perim","hull_area","reock","hull","grofman","polsby","corners","xvar","yvar","sym_x","sym_y","points","var_xcoord","var_ycoord","avgline","varline","boyce","lenwid"
"set1.51","33_U_013_2010","33_1_013",48.0392156862745,42660909.7585,39709.4060968,1,37851.4963328,110129523.333,31343.4454437,55861132.4185,0.38737032965725,0.76369575609197,6.07964660258433,0.339979862027013,28,69.521,131.317,0.529120082377,0.390025553025,103,0.000460992710722137,0.00105188323679836,0.00401403788590124,1.40508022137835e-05,0.309600284666846,0.714784757494039
"set1.52","34_L_013_2010","34_0_013",62.7450980392157,338546989.318,138854.42393,1,112239.798874,975993567.391,86300.5044487,506488878.968,0.346874201459129,0.668419393546821,7.54658109010822,0.220652767041309,59,131.182,105.98,0.116452858805,0.312597847407,305,0.00992228436105244,0.00326262971320497,0.00473130716620459,2.03245804846831e-05,0.302943332817266,1.7719727878979
"set1.53","34_L_015_2010","34_0_015",56.8627450980392,477221008.838,121549.163533,1,123282.076932,1177646185.05,96958.3451639,631871168.824,0.405232925556277,0.755250488364859,5.56406503111375,0.405905998617528,32,121.438,96.9367,0.481312017826,0.435134915432,251,0.0137294763641693,0.00679378923315188,0.00495922539647113,2.83553548142442e-05,0.277588380688817,1.27142332439298
"set1.54","34_U_029_2010","34_1_029",76.4705882352941,64953115.8371,51381.3642412,1,43503.2687382,146458596.487,38774.6474067,90938194.0264,0.443491316966604,0.71425561649315,6.37537355318984,0.309170886302545,27,60.312,109.846,0.403135889977,0.423184281384,167,0.000754026549423782,0.00133357238829911,0.00316855809225582,1.07978348783369e-05,0.388952503202155,0.761915995617082
"set1.55","35_L_056_2010","35_0_056",13.7254901960784,4114418307.67,354688.272501,1,353519.535499,9834072678.5,277934.264579,4919536228.93,0.418383963814428,0.836342719355252,5.52958587654728,0.410983749132888,50,196.142,133.514,0.237346506623,0.123957609211,519,0.0710452053564555,0.0458810219277846,0.00688786973901417,0.000435738375392006,0.212224931568417,1.87296514115631
"set1.56","36_L_019_2010","36_0_019",93.1372549019608,75997527.773,76910.7191153,1,53079.2126341,218012384.023,46323.9733921,135286793.262,0.348592710058995,0.561751268845741,8.8224080287319,0.16144908376972,61,57.9028,123.146,0.3050601774,0.694456466735,283,0.00140409425418949,0.00216753327607796,0.00283834180151528,6.02616420013847e-06,0.323528024409896,0.875025357998095
"set1.57","36_U_002_2010","36_1_002",88.2352941176471,334643487.978,159398.680956,1,146557.442039,1661859802.44,100912.959653,551945957.477,0.201366858676445,0.606297561282428,8.71351802885375,0.165509450114349,52,143.849,106.209,0.495176377757,0.453915348713,363,0.0190145217100486,0.00298782682466253,0.00474852071854502,2.85451979453065e-05,0.268744216227849,2.07453695424387
"set1.58","37_L_035_2010","37_0_035",50,362774006.433,130389.049251,1,110940.691487,964034345.544,85699.0284724,493110442.753,0.376308176269683,0.735685102119637,6.84578157112959,0.268141347861457,61,130.453,84.4337,0.446880974334,0.355445271151,389,0.00911347875955761,0.00375185489933078,0.00338126495332287,1.41300990981279e-05,0.31276003261737,1.41022886983191
"set1.59","37_L_075_2010","37_0_075",92.156862745098,260289822.09,151830.796872,1,132359.84563,1371698988.28,95043.7502154,495561146.207,0.189757245805352,0.525242594344301,9.4109025889401,0.141888536031692,80,151.841,101.217,0.560394250316,0.562129368007,390,0.0126314678599018,0.00223005905411779,0.00398197880885595,2.28633883856622e-05,0.463537019770805,2.15313948515946
"set1.60","37_U_016_2010","37_1_016",70.5882352941176,268164400.091,141385.797244,1,97661.3162744,747105903.384,77174.5609753,413646046.087,0.358937600246973,0.648294363327719,8.63386440114985,0.168577425431796,71,115.856,82.4219,0.385661805019,0.393173248355,464,0.00731796189723593,0.00248420093254409,0.0030607044764502,8.19259264604829e-06,0.23603815736491,1.47173843817989
"set1.61","38_L_027_2010","38_0_027",49.0196078431373,84031184.2151,60307.2191393,1,52665.2711861,209476965.561,45565.5135189,108597858.514,0.401147610621799,0.773783068698975,6.57883601090636,0.290343255489585,33,63.321,126.246,0.629947839481,0.193889492576,137,0.00119886772477016,0.00200581741181871,0.00476062708287507,4.33820272675578e-05,0.453961484282128,0.67477966418913
"set1.62","38_L_041_2010","38_0_041",9.80392156862745,9651152.05547,15569.3870422,1,16658.8860193,20954835.0686,14698.8146771,11247090.4977,0.460569220605886,0.858102107157725,5.01166387676588,0.50031784365542,10,60.805,149.049,0.257843300638,0.101493537151,33,0.000121521682756616,0.0002958519074295,0.00495240047381523,1.08074833131899e-05,0.287916130054,0.592420845446479
"set1.63","40_L_074_2010","40_0_074",21.5686274509804,102884034.249,52378.1942152,1,49971.3752511,195427797.589,41740.9712131,122671295.586,0.526455476233597,0.838696891212599,5.16388460842891,0.471255905973336,30,132.532,142.257,0.121958608447,0.142711757964,110,0.00217680195309821,0.00132489470889115,0.00484260829468218,3.18348711127385e-05,0.150576118711837,1.18211387314336
"set1.64","40_U_024_2010","40_1_024",5.88235294117647,112463467.559,47359.9078194,1,59027.6113751,273192806.789,44677.9521917,122108269.818,0.411663355565072,0.921014340196816,4.46586009458461,0.630085720026568,11,157.52,137.712,0.17132466905,0.0922870142809,59,0.00334182269178976,0.00100921434131498,0.00841682736480086,4.33062785279051e-05,0.288567117996132,2.23240342372672
"set1.65","41_L_039_2010","41_0_039",45.0980392156863,604279755.5,176805.813439,1,157254.881279,1881564179.62,113468.297408,839817127.584,0.321158194891891,0.719537308364265,7.19246104287045,0.242915276411433,77,131.132,95.5334,0.229905947458,0.357730900641,485,0.0220735584523888,0.00557192919494007,0.00412295113483259,2.1763470601061e-05,0.288494847516938,1.98670659059753
"set1.66","42_L_082_2010","42_0_082",18.6274509803922,1826295887.07,236857.377371,1,276487.877812,5919541182.66,204359.003827,2340518128.13,0.308519838061053,0.78029555298901,5.54244440716462,0.4090789877985,30,127.715,113.744,0.580848170124,0.632671112261,275,0.0719553134020187,0.018896421828758,0.00925997152514008,0.000167561467836646,0.292248421528946,1.37889097933703
"set1.67","42_L_190_2010","42_0_190",96.078431372549,13457907.7497,33145.6227814,1,25349.9088771,49843015.609,18953.2144055,21848822.0371,0.270005889195636,0.615955758477416,9.03519250216909,0.153934173429927,53,77.8966,124.146,0.312049448008,0.465433121958,146,0.00041339299556517,0.00029851681761713,0.00240355141571534,3.58610450388119e-06,0.325263674382968,1.19535144991052
